date,resort_name,region,country,pass,snowfall
2020-12-31,Blue Mountain,Ontario,Canada,IKON,0
2020-12-31,Boyne Highlands,Michigan,United_States,IKON,0
2020-12-31,Boyne Mountain Resort,Michigan,United_States,IKON,0
2020-12-31,Breckenridge,Colorado,United_States,EPIC,0
2020-12-31,Brides les Bains,Northern_Alps,France,EPIC,0
2020-12-31,Brighton Resort,Utah,United_States,IKON,0
2020-12-31,Copper Mountain,Colorado,United_States,IKON,0
2020-12-31,Courchevel,Northern_Alps,France,EPIC,0
2020-12-31,Crested Butte Mountain Resort,Colorado,United_States,EPIC,0
2020-12-31,Crystal Mountain,Washington,United_States,IKON,0
2020-12-31,Cypress Mountain,British_Columbia,Canada,IKON,0
2020-12-31,Deer Valley Resort,Utah,United_States,IKON,0
2020-12-31,Eldora Mountain Resort,Colorado,United_States,IKON,0
2020-12-31,Falls Creek Alpine Resort,Australia,Australia,EPIC,0
2020-12-31,Fernie Alpine,British_Columbia,Canada,EPIC,4
2020-12-31,Folgàrida - Marilléva,Trentino,Italy,EPIC,0
2020-12-31,Heavenly,California,United_States,EPIC,2
2020-12-31,Jackson Hole,Wyoming,United_States,IKON,5
2020-12-31,June Mountain,California,United_States,IKON,0
2020-12-31,Keystone,Colorado,United_States,EPIC,0
2020-12-31,Kicking Horse,British_Columbia,Canada,EPIC,0
2020-12-31,Killington Resort,Vermont,United_States,IKON,0
2020-12-31,Kimberley,British_Columbia,Canada,EPIC,1
2020-12-31,Kirkwood,California,United_States,EPIC,2
2020-12-31,La Tania,Northern_Alps,France,EPIC,0
2020-12-31,Lake Louise,Alberta,Canada,IKON,0
2020-12-31,Les Menuires,Northern_Alps,France,EPIC,0
2020-12-31,Loon Mountain,New_Hampshire,United_States,IKON,1
2020-12-31,Madonna di Campiglio,Trentino,Italy,EPIC,0
2020-12-31,Mammoth Mountain,California,United_States,IKON,0
2020-12-31,Meribel,Northern_Alps,France,EPIC,0
2020-12-31,Mont Sainte Anne,Quebec,Canada,EPIC,8
2020-12-31,Monte Bondone,Trentino,Italy,EPIC,0
2020-12-31,Mount Sunapee,New_Hampshire,United_States,EPIC,0
2020-12-31,Mt. Bachelor,Oregon,United_States,IKON,4
2020-12-31,Mt. Brighton,Michigan,United_States,EPIC,0
2020-12-31,Mt. Buller,Australia,Australia,IKON,0
2020-12-31,Mt. Hotham,Australia,Australia,EPIC,0
2020-12-31,Mt. Norquay,Alberta,Canada,IKON,0
2020-12-31,Nakiska Ski Area,Alberta,Canada,EPIC,0
2020-12-31,Nendaz,Valais,Switzerland,EPIC,0
2020-12-31,Northstar California,California,United_States,EPIC,3
2020-12-31,Okemo Mountain Resort,Vermont,United_States,EPIC,0
2020-12-31,Orelle,Northern_Alps,France,EPIC,0
2020-12-31,Park City,Utah,United_States,EPIC,0
2020-12-31,Pejo,Trentino,Italy,EPIC,0
2020-12-31,Perisher,Australia,Australia,EPIC,0
2020-12-31,Pinzolo,Trentino,Italy,EPIC,0
2020-12-31,Pontedilegno - Tonale,Trentino,Italy,EPIC,0
2020-12-31,Revelstoke,British_Columbia,Canada,IKON,0
2020-12-31,Saint Martin de Belleville,Northern_Alps,France,EPIC,0
2020-12-31,Snow Summit,California,United_States,IKON,0
